RL ID,Order,Family,Species,Common Name,ED,RL Status,GE,EDGE,EDGE Rank,Distribution,Median ED
6494,Testudines,Dermochelyidae,Dermochelys coriacea,Leatherback,61.68656626,Vulnerable,2,5.524441532,94,"Antigua and Barbuda,Anguilla,Albania,Angola,Argentina,American Samoa,Australia,Aruba,Bosnia and Herzegovina,Barbados,Bangladesh,Bahrain,Benin,Bermuda,Brunei Darussalam,Bonaire, Sint Eustatius and Saba,Brazil,Bahamas,Belize,Canada,Congo, The Democratic Republic of the,Congo,Côte d'Ivoire,Chile,Cameroon,China,Colombia,Costa Rica,Cuba,Curaçao,Cyprus,Dominica,Dominican Republic,Ecuador,Egypt,Eritrea,Spain,Fiji,Micronesia, Federated States of ,France,Gabon,United Kingdom,Grenada,French Guiana,Ghana,Gambia,Guinea,Guadeloupe,Equatorial Guinea,Greece,Guatemala,Guam,Guinea-Bissau,Guyana,Honduras,Croatia,Haiti,Indonesia,Ireland,India,Italy,Jamaica,Japan,Kenya,Cambodia,Kiribati,Comoros,Saint Kitts and Nevis,Korea, Democratic People's Republic of,Korea, Republic of,Lebanon,Saint Lucia,Sri Lanka,Liberia,Libya,Morocco,Montenegro,Saint Martin (French part),Madagascar,Marshall Islands,Myanmar,Northern Mariana Islands,Martinique,Mauritania,Montserrat,Mauritius,Mexico,Malaysia,Mozambique,Namibia,New Caledonia,Nigeria,Nicaragua,New Zealand,Panama,Peru,French Polynesia,Papua New Guinea,Philippines,Puerto Rico,Portugal,Palau,Russian Federation,Solomon Islands,Seychelles,Saint Helena, Ascension and Tristan da Cunha,Slovenia,Sierra Leone,Senegal,Suriname,Sao Tomé and Principe,El Salvador,Sint Maarten (Dutch part),Syrian Arab Republic,Turks and Caicos Islands,French Southern Territories,Togo,Thailand,Tunisia,Tonga,Trinidad and Tobago,Tuvalu,Taiwan, Province of China,Tanzania, United Republic of,United States,Uruguay,Saint Vincent and the Grenadines,Venezuela, Bolivarian Republic of,Virgin Islands, British,Virgin Islands, U.S.,Samoa,Mayotte,South Africa",31.25360088
172024,Testudines,Chelidae,Phrynops williamsi,Williams' Side-necked Turtle,52.63478129,Vulnerable,2,5.368492123,146,NA,31.25360088
12589,Testudines,Chelydridae,Macrochelys temminckii,Alligator Snapping Turtle,50.96878452,Vulnerable,2,5.336937602,157,United States,31.25360088
62256,Testudines,Trionychidae,Trionyx triunguis,African Softshell Turtle,50.05117886,Vulnerable,2,5.319122998,160,"Angola,Benin,Congo, The Democratic Republic of the,Congo,Côte d'Ivoire,Cameroon,Egypt,Eritrea,Ethiopia,Gabon,Ghana,Gambia,Guinea,Equatorial Guinea,Guinea-Bissau,Israel,Kenya,Liberia,Namibia,Niger,Nigeria,Sudan,Sierra Leone,Senegal,Somalia,South Sudan,Chad,Togo,Turkey,Uganda",31.25360088
39620,Testudines,Trionychidae,Pelodiscus sinensis,Chinese Softshell Turtle,48.5890488,Vulnerable,2,5.29006438,166,"China,Japan,Taiwan, Province of China,Viet Nam",31.25360088
39623,Testudines,Chelidae,Elseya branderhorsti,White-bellied Snapping Turtle,47.19202782,Vulnerable,2,5.261487971,174,Indonesia,31.25360088
63660,Testudines,Chelydridae,Chelydra rossignonii,Central American Snapping Turtle,45.30558624,Vulnerable,2,5.221556968,179,"Belize,Guatemala,Honduras,Mexico",31.25360088
4608,Testudines,Chelidae,Chelodina parkeri,Parker's Snake-necked Turtle,45.3043467,Vulnerable,2,5.221530199,180,"Indonesia,Papua New Guinea",31.25360088
10309,Testudines,Chelidae,Hydromedusa maximiliani,Brazilian Snake-necked Turtle,45.20689918,Vulnerable,2,5.219423481,182,Brazil,31.25360088
17083,Testudines,Chelidae,Mesoclemmys zuliae,Zulia Toad-headed Turtle,45.20689918,Vulnerable,2,5.219423481,182,"Venezuela, Bolivarian Republic of",31.25360088
