Class,Order,Family,Species,ED,RL Category,GE,EDGE,EDGE Rank,Distribution,RL Synonym,Median ED
PINOPSIDA,PINALES,CUPRESSACEAE,Athrotaxis selaginoides,41.56973499,VU,2,5.137437916,48,Australia,NA,6.677812022
PINOPSIDA,PINALES,TAXACEAE,Taxus chinensis,20.26050888,EN,3,5.13629285,50,"China, Viet Nam",NA,6.677812022
PINOPSIDA,PINALES,TAXACEAE,Taxus globosa,20.19501088,EN,3,5.13320736,51,"Guatemala, Honduras, Mexico, El Salvador",NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Dacrydium guillauminii,9.441238026,CR,4,5.118351883,52,New Caledonia,NA,6.677812022
PINOPSIDA,PINALES,PINACEAE,Pinus squamata,9.171411679,CR,4,5.092169731,53,China,NA,6.677812022
PINOPSIDA,PINALES,TAXACEAE,Taxus contorta,19.24049461,EN,3,5.087126823,54,"Afghanistan, China, India, Nepal, Pakistan",NA,6.677812022
PINOPSIDA,PINALES,ARAUCARIACEAE,Araucaria luxurians,18.92576097,EN,3,5.071454957,55,New Caledonia,NA,6.677812022
CYCADOPSIDA,CYCADALES,ZAMIACEAE,Dioon rzedowskii,18.54585692,EN,3,5.052204883,56,Mexico,NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus urbanii,8.548791617,CR,4,5.029003336,57,Jamaica,NA,6.677812022
CYCADOPSIDA,CYCADALES,ZAMIACEAE,Zamia hymenophyllidia,8.409419459,CR,4,5.01429998,58,"Colombia, Peru",NA,6.677812022
CYCADOPSIDA,CYCADALES,CYCADACEAE,Cycas chamaoensis,8.253524722,CR,4,4.997593252,59,Thailand,NA,6.677812022
PINOPSIDA,PINALES,CUPRESSACEAE,Widdringtonia wallichii,8.210819453,CR,4,4.992967543,60,South Africa,Widdringtonia cedarbergensis,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus perrieri,8.161085633,CR,4,4.987553413,61,Madagascar,NA,6.677812022
PINOPSIDA,PINALES,CUPRESSACEAE,Libocedrus chevalieri,8.069375026,CR,4,4.977492078,62,New Caledonia,NA,6.677812022
CYCADOPSIDA,CYCADALES,ZAMIACEAE,Zamia spartea,8.009631351,CR,4,4.970882877,63,Mexico,NA,6.677812022
PINOPSIDA,PINALES,CUPRESSACEAE,Chamaecyparis formosensis,16.52089327,EN,3,4.942835612,64,"Taiwan, Province of China",NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus henkelii,16.48695561,EN,3,4.940896751,65,"Malawi, Tanzania, United Republic of, South Africa, Zimbabwe",NA,6.677812022
PINOPSIDA,PINALES,CUPRESSACEAE,Fitzroya cupressoides,16.26120512,EN,3,4.927903046,66,"Argentina, Chile",NA,6.677812022
CYCADOPSIDA,CYCADALES,CYCADACEAE,Cycas debaoensis,7.599766943,CR,4,4.924323825,67,China,NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Prumnopitys montana,33.22044286,VU,2,4.919117571,68,"Bolivia, Plurinational States of, Colombia, Ecuador, Peru, Venezuela, Bolivarian Republic of",NA,6.677812022
PINOPSIDA,PINALES,PINACEAE,Abies nebrodensis,7.491032505,CR,4,4.911599329,69,Italy,NA,6.677812022
